NAME,PARENT,CLOSING BALANCE,CLOSING RATE,BASE UNITS
Idhayam 100ml,Gingelly Oil,0,0,Pcs
Idhayam 1litre,Gingelly Oil,78,251.0,Pcs
Idhayam 1litre Bottle,Gingelly Oil,0,0,Pcs
Idhayam 200ML,Gingelly Oil,0,0,Pcs
Idhayam 2litre Bottle,Gingelly Oil,0,0,Pcs
Idhayam 500ml,Gingelly Oil,100,151.0,Pcs
Idhayam 50ml,Gingelly Oil,0,0,Pcs
Mantra 1litre,Groundnut Oil,85,246.0,Pcs
Mantra 1litre Bottle,Groundnut Oil,0,0,Pcs
Mantra 500ml,Groundnut Oil,0,0,Pcs
Roobini 15kg Tin,Palm Oil,0,0,Pcs
Roobini 1litre,Palm Oil,0,0,Pcs
Roobini 200ml,Palm Oil,0,0,Pcs
Roobini 500ml,Palm Oil,0,0,Pcs
SIM SIM 1 LITRE,Gingelly Oil,0,0,Pcs
Vanaspati Ghee,Ghee,263,300.0,Pcs
VVD 1litre,Coconut Oil,0,0,Pcs
VVD 250ml,Coconut Oil,0,0,Pcs
VVD 500ml,Coconut Oil,0,0,Pcs
